,Date,Open,Close,Volume
0,15-05-1997,2.4375,1.958333015,72156000
1,16-05-1997,1.96875,1.729166985,14700000
2,19-05-1997,1.760416985,1.708333015,6106800
3,20-05-1997,1.729166985,1.635416985,5467200
4,21-05-1997,1.635416985,1.427083015,18853200
5,22-05-1997,1.4375,1.395833015,11776800
6,23-05-1997,1.40625,1.5,15937200
7,27-05-1997,1.510416985,1.583333015,8697600
8,28-05-1997,1.625,1.53125,4574400
9,29-05-1997,1.541666985,1.505208015,3472800
10,30-05-1997,1.5,1.5,2594400
11,2/6/1997,1.510416985,1.510416985,591600
12,3/6/1997,1.53125,1.479166985,1183200
13,4/6/1997,1.479166985,1.416666985,3080400
14,5/6/1997,1.416666985,1.541666985,5672400
15,6/6/1997,1.515625,1.65625,7807200
16,9/6/1997,1.65625,1.6875,2352000
17,10/6/1997,1.708333015,1.583333015,5458800
18,11/6/1997,1.59375,1.541666985,1188000
19,12/6/1997,1.583333015,1.604166985,1632000
20,13-06-1997,1.625,1.583333015,693600
21,16-06-1997,1.604166985,1.572916985,913200
22,17-06-1997,1.598958015,1.505208015,4706400
23,18-06-1997,1.520833015,1.510416985,2464800
24,19-06-1997,1.510416985,1.510416985,1003200
25,20-06-1997,1.53125,1.526041985,3387600
26,23-06-1997,1.541666985,1.5,1047600
27,24-06-1997,1.505208015,1.510416985,751200
28,25-06-1997,1.526041985,1.510416985,2106000
29,26-06-1997,1.520833015,1.510416985,3189600
30,27-06-1997,1.515625,1.489583015,1188000
31,30-06-1997,1.510416985,1.541666985,2746800
32,1/7/1997,1.541666985,1.515625,1292400
33,2/7/1997,1.515625,1.588541985,3882000
34,3/7/1997,1.598958015,1.911458015,12577200
35,7/7/1997,1.833333015,2.0,8053200
36,8/7/1997,2.041666985,2.302083015,15517200
37,9/7/1997,2.302083015,2.322916985,8262000
38,10/7/1997,2.333333015,2.5625,9051600
39,11/7/1997,2.520833015,2.291666985,10531200
40,14-07-1997,2.322916985,2.135416985,4604400
41,15-07-1997,2.135416985,2.4375,9274800
42,16-07-1997,2.447916985,2.333333015,3024000
43,17-07-1997,2.34375,2.21875,3169200
44,18-07-1997,2.1875,2.15625,780000
45,21-07-1997,2.177083015,2.182291985,574800
46,22-07-1997,2.166666985,2.135416985,1563600
47,23-07-1997,2.1875,2.291666985,3259200
48,24-07-1997,2.302083015,2.260416985,1216800
49,25-07-1997,2.21875,2.229166985,620400
50,28-07-1997,2.229166985,2.322916985,2574000
51,29-07-1997,2.364583015,2.479166985,4814400
52,30-07-1997,2.5,2.447916985,2517600
53,31-07-1997,2.4375,2.395833015,1454400
54,1/8/1997,2.34375,2.416666985,3588000
55,4/8/1997,2.375,2.3125,2671200
56,5/8/1997,2.333333015,2.208333015,3032400
57,6/8/1997,2.208333015,2.25,1243200
58,7/8/1997,2.25,2.177083015,2034000
59,8/8/1997,2.166666985,2.291666985,2211600
60,11/8/1997,2.291666985,2.328125,1239600
61,12/8/1997,2.28125,2.197916985,571200
62,13-08-1997,2.229166985,2.197916985,590400
63,14-08-1997,2.177083015,2.15625,1041600
64,15-08-1997,2.135416985,2.114583015,1597200
65,18-08-1997,2.052083015,2.041666985,1784400
66,19-08-1997,2.09375,2.166666985,1003200
67,20-08-1997,2.1875,2.166666985,999600
68,21-08-1997,2.135416985,2.114583015,624000
69,22-08-1997,2.104166985,2.125,712800
70,25-08-1997,2.104166985,2.21875,1126800
71,26-08-1997,2.239583015,2.34375,2574000
72,27-08-1997,2.307291985,2.317708015,1392000
73,28-08-1997,2.302083015,2.375,1147200
74,29-08-1997,2.364583015,2.338541985,722400
75,2/9/1997,2.34375,2.354166985,732000
76,3/9/1997,2.34375,2.333333015,1964400
77,4/9/1997,2.364583015,2.552083015,3348000
78,5/9/1997,2.583333015,2.5,1908000
79,8/9/1997,2.53125,3.0,5648400
80,9/9/1997,3.140625,3.239583015,8971200
81,10/9/1997,3.3125,3.302083015,3866400
82,11/9/1997,3.333333015,3.15625,4262400
83,12/9/1997,3.1875,3.6875,3333600
84,15-09-1997,3.666666985,3.09375,5583600
85,16-09-1997,3.125,3.354166985,6432000
86,17-09-1997,3.458333015,3.40625,2607600
87,18-09-1997,3.4375,3.291666985,2128800
88,19-09-1997,3.380208015,3.947916985,8929200
89,22-09-1997,4.0,4.5,16938000
90,23-09-1997,4.489583015,4.625,7682400
91,24-09-1997,4.645833015,4.375,8200800
92,25-09-1997,4.34375,4.078125,4968000
93,26-09-1997,4.072916985,4.166666985,2731200
94,29-09-1997,4.145833015,4.041666985,2371200
95,30-09-1997,4.0,4.338541985,5254800
96,1/10/1997,4.4375,4.020833015,4999200
97,2/10/1997,4.041666985,4.010416985,1876800
98,3/10/1997,4.083333015,4.015625,1164000
99,6/10/1997,4.0,4.125,2028000
100,7/10/1997,4.083333015,4.057291985,1742400
101,8/10/1997,4.145833015,4.005208015,2806800
