id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1429742592690774019,1429722387587551233,2021-08-23 02:49:32 Pacific Daylight Time,2021-08-23,02:49:32,-0700,1247708380581572609,9297_sj,오차 ߮߰🖤߮߬ ⃕,,@00_lydia_goog 마자여ﺇ 재미없서여ﺇㅋㅋㅋㅋ,ko,[],[],[],0,0,1,[],[],https://twitter.com/9297_SJ/status/1429742592690774019,False,,0,,,,,,,,"[{'screen_name': '00_lydia_goog', 'name': '저스트비유어', 'id': '1347109626899173376'}]",,,,
1429742439183503360,1429742439183503360,2021-08-23 02:48:55 Pacific Daylight Time,2021-08-23,02:48:55,-0700,1276701234964004866,goog0ng0,구공영,,큐 인가마린룩의상 좋은점..  모자만 색깔다른거랑 상하의핏되는데 왕부츠신은거 모에함,ko,[],[],[],0,1,6,[],[],https://twitter.com/goog0ng0/status/1429742439183503360,False,,0,,,,,,,,[],,,,
1429742340332216322,1429742340332216322,2021-08-23 02:48:31 Pacific Daylight Time,2021-08-23,02:48:31,-0700,1324959470238261248,googgd,goog,,radolyn is a girl,en,[],[],[],0,0,0,[],[],https://twitter.com/googgd/status/1429742340332216322,False,,0,,,,,,,,[],,,,
1429742249395449862,1429741212697653249,2021-08-23 02:48:10 Pacific Daylight Time,2021-08-23,02:48:10,-0700,1220966037253804033,stillwith_goog,nayanaᴱᴺ⁻生⁷,,@thenoeasy mood,en,[],[],[],0,0,0,[],[],https://twitter.com/stillwith_goog/status/1429742249395449862,False,,0,,,,,,,,"[{'screen_name': 'thenoeasy', 'name': '소리꾼 d-day!', 'id': '1421491833733976068'}]",,,,
1429742249366024193,1429742249366024193,2021-08-23 02:48:10 Pacific Daylight Time,2021-08-23,02:48:10,-0700,1104766401070288896,1vsecidmmvfm2w6,goog,,CMCに載ったのね・・・ $DRS  https://t.co/JkU9AMI6YZ,ja,[],['https://coinmarketcap.com/currencies/dragon-slayer/'],[],0,1,2,[],['drs'],https://twitter.com/1vSECiDMMVfM2W6/status/1429742249366024193,False,,0,,,,,,,,[],,,,
1429741779943792642,1429741779943792642,2021-08-23 02:46:18 Pacific Daylight Time,2021-08-23,02:46:18,-0700,1415615115789959172,haan19082013,Haan19082013,,Goog,en,[],[],[],0,0,0,[],[],https://twitter.com/haan19082013/status/1429741779943792642,False,https://twitter.com/thunderprotocol/status/1425656644327809027,0,,,,,,,,[],,,,
1429741216803868680,1429740504661446656,2021-08-23 02:44:04 Pacific Daylight Time,2021-08-23,02:44:04,-0700,1220966037253804033,stillwith_goog,nayanaᴱᴺ⁻生⁷,,@spearbagustd OMG I WISH FOR THE SAME 🤞🤞🤞,en,[],[],[],0,0,1,[],[],https://twitter.com/stillwith_goog/status/1429741216803868680,False,,0,,,,,,,,"[{'screen_name': 'spearbagustd', 'name': 'ً', 'id': '1145215157766770689'}]",,,,
1429740047901863944,1429740047901863944,2021-08-23 02:39:25 Pacific Daylight Time,2021-08-23,02:39:25,-0700,1259069865903763457,googlenewspost,GoogleNewsPost,,"Maersk inks deal to protected provide of 'inexperienced' e-methanol for vessel, objectives 2023 release  https://goog...  https://t.co/rpsPc5ctlj",en,[],['https://googlenewspost.com/2021/08/maersk-inks-deal-to-secure-supply-of-green-e-methanol-for-vessel-targets-2023-launch/?feed_id=727936&_unique_id=61236ccd3d8e8'],[],0,0,0,[],[],https://twitter.com/GoogleNewsPost/status/1429740047901863944,False,,0,,,,,,,,[],,,,
1429739782058307591,1429739782058307591,2021-08-23 02:38:21 Pacific Daylight Time,2021-08-23,02:38:21,-0700,1400124681756155906,baekyoong_hyune,STREAM NOEASY⚡,,Hyunchan's voices blend so goog together oh my god,en,[],[],[],0,0,0,[],[],https://twitter.com/baekyoong_hyune/status/1429739782058307591,False,,0,,,,,,,,[],,,,
1429739735862321154,1429738895013552131,2021-08-23 02:38:10 Pacific Daylight Time,2021-08-23,02:38:10,-0700,1220966037253804033,stillwith_goog,nayanaᴱᴺ⁻生⁷,,@honeyjihannie me too 😭😭😭,en,[],[],[],0,0,1,[],[],https://twitter.com/stillwith_goog/status/1429739735862321154,False,,0,,,,,,,,"[{'screen_name': 'honeyjihannie', 'name': 'masanie 🍧', 'id': '1364201922983587840'}]",,,,
