Date,Low,Open,Volume,High,Close,Adjusted Close
2/1/1970,1.21875,1.25,1195200,1.253471971,1.21875,0.407606304
5/1/1970,1.1875,1.21875,964800,1.222221971,1.189236045,0.397735268
6/1/1970,1.184028029,1.189236045,1036800,1.211806059,1.211806059,0.4052836
7/1/1970,1.203125,1.211806059,331200,1.215278029,1.206596971,0.403541595
8/1/1970,1.206596971,1.206596971,460800,1.225693941,1.215278029,0.406445205
9/1/1970,1.222221971,1.222221971,748800,1.239583015,1.222221971,0.408767283
12/1/1970,1.201388955,1.222221971,864000,1.222221971,1.201388955,0.401799828
13-01-1970,1.204861045,1.204861045,849600,1.222221971,1.211806059,0.4052836
14-01-1970,1.211806059,1.211806059,619200,1.232638955,1.229166985,0.411090076
15-01-1970,1.227431059,1.229166985,1209600,1.232638955,1.230903029,0.411670864
16-01-1970,1.225693941,1.230903029,734400,1.230903029,1.229166985,0.411090076
19-01-1970,1.211806059,1.227431059,1180800,1.227431059,1.213541985,0.405864596
20-01-1970,1.192708015,1.213541985,763200,1.213541985,1.213541985,0.405864596
21-01-1970,1.210068941,1.213541985,878400,1.21875,1.21875,0.407606304
22-01-1970,1.211806059,1.21875,360000,1.222221971,1.222221971,0.408767283
23-01-1970,1.213541985,1.222221971,979200,1.225693941,1.215278029,0.406445205
26-01-1970,1.208333015,1.215278029,979200,1.215278029,1.215278029,0.406445205
27-01-1970,1.201388955,1.210068941,532800,1.210068941,1.201388955,0.401799828
28-01-1970,1.135416985,1.190971971,1497600,1.190971971,1.135416985,0.379735947
29-01-1970,1.072916985,1.131943941,3585600,1.131943941,1.111111045,0.371606559
30-01-1970,1.076388955,1.097221971,2808000,1.097221971,1.097221971,0.366961867
2/2/1970,1.109375,1.109375,1612800,1.152778029,1.152778029,0.385541916
3/2/1970,1.145833015,1.152778029,2692800,1.201388955,1.145833015,0.383219242
4/2/1970,1.081596971,1.133681059,2793600,1.133681059,1.095486045,0.366381139
5/2/1970,1.092013955,1.095486045,1886400,1.145833015,1.145833015,0.383219242
6/2/1970,1.125,1.138888955,705600,1.138888955,1.131943941,0.378574252
9/2/1970,1.159721971,1.159721971,1684800,1.190971971,1.182291985,0.395413131
10/2/1970,1.201388955,1.201388955,2505600,1.215278029,1.204861045,0.402960718
11/2/1970,1.189236045,1.201388955,2232000,1.201388955,1.194443941,0.399477184
12/2/1970,1.143229008,1.194443941,3369600,1.194443941,1.151041985,0.384961426
13-02-1970,1.111111045,1.146700978,1540800,1.146700978,1.125,0.376252085
16-02-1970,1.122395992,1.125,820800,1.130208015,1.122395992,0.376077205
17-02-1970,1.090278029,1.122395992,1915200,1.123263955,1.100693941,0.368805528
18-02-1970,1.104166985,1.104166985,878400,1.112846971,1.109375,0.371714294
19-02-1970,1.098958015,1.109375,576000,1.109375,1.101562977,0.369096875
20-02-1970,1.076388955,1.098958015,1396800,1.098958015,1.080729008,0.362115949
24-02-1970,1.050346971,1.080729008,3744000,1.085068941,1.057291985,0.354263037
25-02-1970,1.052083015,1.057291985,2822400,1.097221971,1.097221971,0.367642581
26-02-1970,1.064236045,1.086806059,1353600,1.086806059,1.076388955,0.360661894
27-02-1970,1.083333015,1.083333015,1627200,1.111111045,1.106770992,0.370841771
2/3/1970,1.097221971,1.106770992,1051200,1.123263955,1.097221971,0.367642581
3/3/1970,1.079861045,1.097221971,1468800,1.098958015,1.098958015,0.368224144
4/3/1970,1.098958015,1.098958015,734400,1.118056059,1.109375,0.371714294
5/3/1970,1.104166985,1.109375,892800,1.112846971,1.107638955,0.371132463
6/3/1970,1.088541985,1.107638955,907200,1.107638955,1.092013955,0.365897119
9/3/1970,1.079861045,1.088541985,273600,1.088541985,1.085068941,0.363570273
10/3/1970,1.066840053,1.079861045,1353600,1.079861045,1.076388955,0.360661894
11/3/1970,1.072916985,1.076388955,432000,1.090278029,1.085068941,0.363570273
